path,level,kind,word_count,nav_excluded,has_frontmatter_description,outbound_internal_links,image_refs
404.md,top,asset-doc,140,true,true,0,0
README.md,top,readme,1095,true,true,4,3
assets/images/README.md,top,readme,2381,true,true,0,3
index.md,top,topic,419,false,true,8,0
introduction.md,top,topic,1487,false,true,6,0
level-100/README.md,L100,readme,1107,false,true,28,0
level-100/VISUAL_SPECIFICATIONS.md,L100,spec,5107,true,true,0,0
level-100/azure-arc-data-services.md,L100,topic,1221,false,true,6,0
level-100/azure-arc-intro.md,L100,topic,3766,false,true,13,0
level-100/azure-arc-knowledge-check.md,L100,kb-check,1671,false,true,21,0
level-100/azure-arc-kubernetes.md,L100,topic,959,false,true,5,0
level-100/azure-arc-servers.md,L100,topic,840,false,true,5,0
level-100/azure-local-architecture.md,L100,topic,912,false,true,6,1
level-100/azure-local-connected-mode.md,L100,topic,2761,false,true,7,0
level-100/azure-local-disconnected-mode.md,L100,topic,2519,false,true,6,0
level-100/azure-local-hardware.md,L100,topic,2816,false,true,6,0
level-100/azure-local-knowledge-check.md,L100,kb-check,2317,false,true,31,0
level-100/azure-local-overview.md,L100,topic,3890,false,true,15,0
level-100/cloud-models-knowledge-check.md,L100,kb-check,1885,false,true,45,0
level-100/data-residency-concepts.md,L100,topic,1853,false,true,4,0
level-100/digital-sovereignty.md,L100,topic,2599,false,true,7,0
level-100/edge-rag-architecture.md,L100,topic,1143,false,true,4,0
level-100/edge-rag-concepts.md,L100,topic,1840,false,true,6,0
level-100/edge-rag-knowledge-check.md,L100,kb-check,2020,false,true,28,0
level-100/edge-rag-use-cases.md,L100,topic,1212,false,true,4,0
level-100/european-commitments.md,L100,topic,1572,false,true,3,1
level-100/knowledge-check.md,L100,kb-check,1875,false,true,22,0
level-100/module-01-digital-sovereignty.md,L100,overview,130,false,true,6,0
level-100/module-02-cloud-models.md,L100,overview,147,false,true,5,0
level-100/module-03-azure-local.md,L100,overview,130,false,true,6,0
level-100/module-04-azure-arc.md,L100,overview,124,false,true,5,0
level-100/module-05-edge-rag.md,L100,overview,126,false,true,5,0
level-100/national-partner-clouds.md,L100,topic,3957,false,true,4,0
level-100/operational-sovereignty.md,L100,topic,1780,false,true,4,0
level-100/rag-fundamentals.md,L100,topic,1016,false,true,4,1
level-100/regulatory-overview.md,L100,topic,1568,false,true,4,0
level-100/sovereign-cloud-models.md,L100,topic,4738,false,true,9,1
level-100/sovereign-private-cloud.md,L100,topic,2422,false,true,3,0
level-100/sovereign-public-cloud.md,L100,topic,3138,false,true,4,0
level-200/README.md,L200,readme,1364,false,true,33,0
level-200/VISUAL_SPECIFICATIONS.md,L200,spec,2551,true,true,0,0
level-200/arc-advanced-knowledge-check.md,L200,kb-check,102,false,true,5,0
level-200/arc-advanced-management.md,L200,topic,2017,false,true,4,0
level-200/arc-cost-optimization.md,L200,topic,480,false,true,0,0
level-200/arc-enterprise-patterns.md,L200,topic,458,false,true,0,1
level-200/arc-policy-and-governance.md,L200,topic,612,false,true,0,0
level-200/azure-local-advanced-networking.md,L200,topic,560,false,true,0,1
level-200/azure-local-architecture-deep-dive.md,L200,topic,1122,false,true,5,1
level-200/azure-local-deep-dive-knowledge-check.md,L200,kb-check,2242,false,true,13,0
level-200/azure-local-ha-patterns.md,L200,topic,1396,false,true,0,0
level-200/azure-local-hardware-planning.md,L200,topic,918,false,true,0,0
level-200/compliance-knowledge-check.md,L200,kb-check,2945,false,true,9,0
level-200/compliance-security-patterns.md,L200,topic,254,false,true,8,1
level-200/cost-estimation.md,L200,topic,234,false,true,5,0
level-200/customer-discovery.md,L200,topic,245,false,true,6,0
level-200/edge-rag-implementation.md,L200,topic,421,false,true,6,1
level-200/encryption-key-management.md,L200,topic,419,false,true,6,1
level-200/fedramp-compliance.md,L200,topic,161,false,true,5,1
level-200/gdpr-implementation.md,L200,topic,158,false,true,5,0
level-200/lab-01-azure-local-deployment.md,L200,lab,562,false,true,2,0
level-200/lab-02-azure-arc-onboarding.md,L200,lab,698,false,true,2,0
level-200/lab-03-edge-rag-setup.md,L200,lab,646,false,true,0,0
level-200/lab-04-policy-governance.md,L200,lab,593,false,true,0,0
level-200/lab-05-monitoring-observability.md,L200,lab,599,false,true,0,0
level-200/labs-overview.md,L200,topic,605,false,true,10,0
level-200/llm-inference-optimization.md,L200,topic,331,false,true,5,0
level-200/module-01-azure-local.md,L200,overview,66,false,true,5,0
level-200/module-02-arc.md,L200,overview,59,false,true,5,0
level-200/module-03-edge-rag.md,L200,overview,59,false,true,5,0
level-200/module-04-presales.md,L200,overview,52,false,true,4,0
level-200/module-05-compliance.md,L200,overview,61,false,true,5,0
level-200/presales-knowledge-check.md,L200,kb-check,3020,false,true,7,0
level-200/presales-solution-design.md,L200,topic,496,false,true,8,0
